Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-02-21,32.15572352561914,32.278465316280545,32.096713534181696,32.26666259765625,98028800,0.0,0.0
2017-02-22,32.202932409668726,32.36580057045443,32.1274014897254,32.363441467285156,83347600,0.0,0.0
2017-02-23,32.42717120594967,32.450773041193024,32.172247614207016,32.22653579711914,83152800,0.0,0.0
2017-02-24,32.08018746132346,32.25721740722656,31.931481154226155,32.25721740722656,87106400,0.0,0.0
2017-02-27,32.37052717120576,32.441339895294945,32.16753261638195,32.32095718383789,81029600,0.0,0.0
2017-02-28,32.35635243894041,32.44132695361196,32.266656117430635,32.33510971069336,93931600,0.0,0.0
2017-03-01,32.547554355976665,33.08100344134212,32.47910434303117,32.996028900146484,145658400,0.0,0.0
2017-03-02,33.04559748928366,33.11168839612748,32.752906614915084,32.80011749267578,104844000,0.0,0.0
2017-03-03,32.75763141362085,33.00547413775402,32.71278323666437,32.99367141723633,84432400,0.0,0.0
2017-03-06,32.89688575025328,32.99130388859806,32.715137587096535,32.88980484008789,87000000,0.0,0.0
2017-03-07,32.82370918061702,33.04086546477011,32.75997739669371,32.932289123535156,69785200,0.0,0.0
2017-03-08,32.79775233515337,32.99838774557989,32.767069588924535,32.80955505371094,74828800,0.0,0.0
2017-03-09,32.74818183995456,32.759980955343806,32.349273774004786,32.73401641845703,88623600,0.0,0.0
2017-03-10,32.8685624995682,32.89452703771061,32.72457798835732,32.84259796142578,78451200,0.0,0.0
2017-03-13,32.77414249661656,32.91104247306587,32.767061587547914,32.856754302978516,69686800,0.0,0.0
2017-03-14,32.880377033524326,32.962988883350455,32.77179703453979,32.80720520019531,61236400,0.0,0.0
2017-03-15,32.90633212307387,33.22262480925156,32.81663578454908,33.1541748046875,102767200,0.0,0.0
2017-03-16,33.21553504095072,33.286347731340236,33.106955102129064,33.20845413208008,76928000,0.0,0.0
2017-03-17,33.28164252971725,33.28164252971725,33.019637965735065,33.043243408203125,175540000,0.0,0.0
2017-03-20,33.140015211749045,33.39966065753448,33.09988884316123,33.390220642089844,86168000,0.0,0.0
2017-03-21,33.54364723971438,33.70651542907239,32.981870842029636,33.007835388183594,158119600,0.0,0.0
2017-03-22,33.01019076235883,33.42326070381718,32.98894442808966,33.38077163696289,103440800,0.0,0.0
2017-03-23,33.3430129071043,33.41854744452974,33.18958833027573,33.262760162353516,81385200,0.0,0.0
2017-03-24,33.39965359326366,33.4563044790033,33.12820908600609,33.196659088134766,89582400,0.0,0.0
