Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,daily_return,cum_return,middle_band,upper_band,lower_band,Conversion,Baseline,SpanA,SpanB,Lagging
2017-02-13,24.053637012126195,24.3088465494136,23.86222925069021,24.14933967590332,511800,0.0,0,,,,,,,,,,23.52452850341797
2017-02-14,24.1812418528006,24.595958243962684,24.117437646088383,24.5002555847168,314700,0.0,0,0.0145310767715785,1.0145310767715785,,,,,,,,23.943456649780277
2017-02-15,24.43645151577861,24.595958382636024,24.1174377820638,24.181241989135746,433900,0.0,0,-0.013020827251290168,1.0013210428798704,,,,,,,,24.23348426818848
2017-02-16,24.08553695678711,24.2450438240506,23.98983186287636,24.08553695678711,281400,0.0,0,-0.003957821206687195,0.9973579932216584,,,,,,,,23.55674743652344
2017-02-17,24.053634699664045,24.053634699664045,23.47940903667911,23.95792961120605,454700,0.0,0,-0.005298090128113109,0.992073900683576,,,,,,,,23.84678077697754
2017-02-21,24.18124115706499,24.40454978942871,23.89412831982481,23.926029205322266,185400,0.0,0,-0.0013315176395235495,0.9907529367851049,,,,,,,,23.911226272583008
2017-02-22,23.989830496064886,24.053634699664045,23.67081677971359,23.95792961120605,503000,0.0,0,0.001333292942595321,0.992073900683576,,,,,,,,24.45906639099121
2017-02-23,23.862227562858607,23.92602933419717,23.208248454171255,23.60701560974121,446500,0.0,0,-0.014647092096835568,0.9775429028933968,,,,,,,,24.81354141235352
2017-02-24,23.22419730111965,23.67081451416016,23.128492221821677,23.67081451416016,276500,0.0,0,0.002702540019189126,0.9801847517089406,,,,23.86222530222885,,,,23.879005432128903
2017-02-27,23.607018868497235,23.79842664281678,23.41561109417769,23.7346248626709,320000,0.0,0,0.002695739450476742,0.9828270744128781,,,,23.86222530222885,,,,23.943456649780277
2017-02-28,23.607014233278488,23.67081600089694,23.383705612732477,23.47940826416016,306300,0.0,0,-0.01075292320765242,0.9722588103553147,,,,23.86222530222885,,,,23.4278507232666
2017-03-01,23.717878690725147,24.265711614393517,23.717878690725147,24.23348426818848,345600,0.37,0,0.03211648247453369,1.003484343398802,,,,23.766521005625194,,,,23.81455421447754
2017-03-02,24.233481352437305,24.49128533945088,24.00790470775119,24.29793357849121,431900,0.0,0,0.0026595148097350307,1.0061531248714084,,,,23.80988878063628,,,,23.460079193115234
2017-03-03,24.330164366204897,24.491291282537382,24.18515112494632,24.45906639099121,314700,0.0,0,0.006631543870983192,1.01282547345992,,,,23.80989175217953,,,,23.008922576904297
