Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,daily_return,cum_return
2017-02-21,2354.909912109375,2366.7099609375,2354.909912109375,2365.3798828125,3579780000,0,0,,
2017-02-22,2361.110107421875,2365.1298828125,2358.340087890625,2362.820068359375,3468670000,0,0,-0.001082200145408,0.998917799854592
2017-02-23,2367.5,2368.260009765625,2355.090087890625,2363.81005859375,4015260000,0,0,0.0004189867216857,0.9993363331487866
2017-02-24,2355.72998046875,2367.340087890625,2352.8701171875,2367.340087890625,3831570000,0,0,0.0014933641914423,1.0008287062439185
2017-02-27,2365.22998046875,2371.5400390625,2361.8701171875,2369.75,3582610000,0,0,0.0010179830611165,1.0018475329139538
2017-02-28,2366.080078125,2367.7900390625,2358.9599609375,2363.639892578125,4210140000,0,0,-0.0025783763780462,0.9992643929006846
2017-03-01,2380.1298828125,2400.97998046875,2380.1298828125,2395.9599609375,4345180000,0,0,0.0136738546598662,1.012928188975988
2017-03-02,2394.75,2394.75,2380.169921875,2381.919921875,3821320000,0,0,-0.0058598805035984,1.0069925508298625
2017-03-03,2380.919921875,2383.889892578125,2375.389892578125,2383.1201171875,3555260000,0,0,0.00050387727206,1.0074999514893592
2017-03-06,2375.22998046875,2378.800048828125,2367.97998046875,2375.31005859375,3232700000,0,0,-0.0032772408480052,1.004198131493975
2017-03-07,2370.739990234375,2375.1201171875,2365.510009765625,2368.389892578125,3518390000,0,0,-0.0029133737680216,1.001272526999784
2017-03-08,2369.81005859375,2373.090087890625,2361.010009765625,2362.97998046875,3812100000,0,0,-0.0022842151650487,0.9989854051092644
2017-03-09,2363.489990234375,2369.080078125,2354.5400390625,2364.8701171875,3716340000,0,0,0.0007998953585612,0.9997844888980816
2017-03-10,2372.52001953125,2376.860107421875,2363.0400390625,2372.60009765625,3432950000,0,0,0.0032686701956989,1.003052454659065
2017-03-13,2371.56005859375,2374.419921875,2368.52001953125,2373.469970703125,3133900000,0,0,0.0003666328125562,1.003420206601658
2017-03-14,2368.550048828125,2368.550048828125,2358.179931640625,2365.449951171875,3172630000,0,0,-0.0033790271755046,1.0000296224551004
2017-03-15,2370.340087890625,2390.010009765625,2368.93994140625,2385.260009765625,3906840000,0,0,0.0083747527965813,1.0084046233324204
2017-03-16,2387.7099609375,2388.10009765625,2377.179931640625,2381.3798828125,3365660000,0,0,-0.0016267102694209,1.006764241175914
2017-03-17,2383.7099609375,2385.7099609375,2377.639892578125,2378.25,5178040000,0,0,-0.0013143147950017,1.0054410360386576
2017-03-20,2378.239990234375,2379.550048828125,2369.659912109375,2373.469970703125,3054930000,0,0,-0.0020098935338483,1.0034202066016578
2017-03-21,2379.320068359375,2381.929931640625,2341.89990234375,2344.02001953125,4265590000,0,0,-0.0124079729406268,0.9909697958300662
2017-03-22,2343.0,2351.81005859375,2336.449951171875,2348.449951171875,3572730000,0,0,0.0018898864360001,0.9928426162056913
2017-03-23,2345.969970703125,2358.919921875,2342.1298828125,2345.9599609375,3260600000,0,0,-0.0010602696613281,0.9917899353012548
2017-03-24,2350.419921875,2356.219970703125,2335.739990234375,2343.97998046875,2975130000,0,0,-0.0008439958489141,0.9909528687128656
2017-03-27,2329.110107421875,2344.89990234375,2322.25,2341.590087890625,3240230000,0,0,-0.0010195874529811,0.9899425056014304
2017-03-28,2339.7900390625,2363.780029296875,2337.6298828125,2358.570068359375,3367780000,0,0,0.0072514743535005,0.9971210482922392
2017-03-29,2356.5400390625,2363.360107421875,2352.93994140625,2361.1298828125,3106940000,0,0,0.0010853247429301,0.9982032484376472
2017-03-30,2361.31005859375,2370.419921875,2358.580078125,2368.06005859375,3158420000,0,0,0.0029351099368557,1.0011330847111382
2017-03-31,2364.820068359375,2370.35009765625,2362.60009765625,2362.719970703125,3354110000,0,0,-0.0022550474897145,0.9988754820615902
2017-04-03,2362.340087890625,2365.8701171875,2344.72998046875,2358.840087890625,3416400000,0,0,-0.0016421255420062,0.997235203119213
2017-04-04,2354.760009765625,2360.530029296875,2350.719970703125,2360.159912109375,3206240000,0,0,0.0005595225490382,0.9977931787020528
2017-04-05,2366.590087890625,2378.360107421875,2350.52001953125,2352.949951171875,3770520000,0,0,-0.0030548611983906,0.9947450590364172
