Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,daily_return,cum_return,middle_band,upper_band,lower_band,Conversion,Baseline,SpanA,SpanB,Lagging
2017-08-04,396.0,396.0,378.0,390.0,806,0,0.0,-0.007633587786259555,0.5990783410138255,422.4,462.7157629352626,382.08423706473735,405.0,435.0,413.25,471.0,405.0
2017-08-07,423.0,423.0,405.0,420.0,1590,0,0.0,0.07692307692307687,0.6451612903225813,422.7,462.8484112027478,382.5515887972522,400.5,435.0,416.25,471.0,393.0
2017-08-08,420.0,426.0,408.0,426.0,767,0,0.0,0.014285714285714235,0.6543778801843324,423.15,463.23377180487046,383.0662281951295,402.0,435.0,417.75,471.0,393.0
2017-08-09,420.0,441.0,414.0,417.0,1111,0,0.0,-0.021126760563380254,0.6405529953917057,422.7,462.8484112027478,382.5515887972522,409.5,435.0,419.25,471.0,390.0
2017-08-10,426.0,444.0,408.0,435.0,2725,0,0.0,0.043165467625899234,0.6682027649769592,421.05,455.92927685150414,386.1707231484959,411.0,435.0,419.25,471.0,384.0
2017-08-11,411.0,411.0,333.0,375.0,2593,0,0.0,-0.13793103448275867,0.5760368663594475,417.0,453.4969074392781,380.5030925607219,388.5,412.5,419.25,471.0,378.0
2017-08-14,384.0,399.0,375.0,390.0,1983,0,0.0,0.040000000000000036,0.5990783410138254,414.3,450.39078867755694,378.2092113224431,388.5,412.5,419.25,471.0,375.0
2017-08-15,387.0,387.0,354.0,375.0,1686,0,0.0,-0.038461538461538436,0.5760368663594475,411.3,449.9237540217997,372.6762459782003,388.5,412.5,419.25,471.0,366.0
2017-08-16,375.0,375.0,351.0,357.0,1394,0,0.0,-0.04800000000000004,0.548387096774194,407.4,451.13641700724025,363.6635829927597,388.5,412.5,415.5,471.0,372.0
2017-08-17,366.0,366.0,351.0,363.0,1281,0,0.0,0.01680672268907557,0.5576036866359451,403.95,450.2206627072495,357.67933729275046,388.5,412.5,419.25,471.0,369.0
2017-08-18,363.0,363.0,351.0,360.0,579,0,0.0,-0.008264462809917328,0.5529953917050695,400.2,447.94648420233506,352.4535157976649,388.5,412.5,427.5,471.0,363.0
2017-08-21,357.0,357.0,342.0,354.0,887,0,0.0,-0.01666666666666672,0.5437788018433183,396.45,446.3170053980388,346.58299460196116,388.5,400.5,440.25,471.0,354.0
2017-08-22,351.0,360.0,336.0,336.0,675,0,0.0,-0.05084745762711862,0.5161290322580648,392.1,446.93171560136597,337.2682843986341,388.5,393.0,440.25,471.0,360.0
2017-08-23,333.0,345.0,333.0,345.0,556,0,0.0,0.02678571428571419,0.5299539170506915,388.35,445.2780606416611,331.42193935833893,372.0,388.5,440.25,471.0,369.0
2017-08-24,348.0,357.0,339.0,354.0,392,0,0.0,0.026086956521739202,0.5437788018433183,385.95,444.41714737444306,327.4828526255569,366.0,388.5,440.25,471.0,372.0
2017-08-25,348.0,357.0,345.0,351.0,409,0,0.0,-0.008474576271186418,0.5391705069124427,382.65,441.1855791400643,324.11442085993565,360.0,388.5,440.25,471.0,369.0
2017-08-28,351.0,357.0,339.0,342.0,501,0,0.0,-0.02564102564102566,0.525345622119816,378.9,437.7649535980861,320.03504640191386,354.0,388.5,441.0,471.0,366.0
2017-08-29,342.0,372.0,339.0,351.0,1235,0,0.0,0.026315789473684292,0.5391705069124427,376.5,435.8084334111412,317.1915665888588,352.5,388.5,441.0,471.0,387.0
2017-08-30,357.0,363.0,342.0,354.0,820,0,0.0,0.008547008547008517,0.5437788018433183,374.4,433.772830788072,315.02716921192797,352.5,388.5,445.5,465.0,387.0
2017-08-31,351.0,369.0,348.0,366.0,845,0,0.0,0.03389830508474567,0.5622119815668205,373.05,431.88944466444775,314.21055533555227,352.5,388.5,447.0,463.5,369.0
2017-09-01,369.0,399.0,369.0,390.0,1910,0,0.0,0.06557377049180335,0.5990783410138252,373.05,431.88944466444775,314.21055533555227,366.0,388.5,436.5,463.5,366.0
2017-09-05,390.0,396.0,366.0,393.0,1106,0,0.0,0.007692307692307665,0.6036866359447007,371.7,427.2832312463842,316.11676875361576,366.0,388.5,432.75,463.5,378.0
2017-09-06,390.0,408.0,384.0,390.0,1036,0,0.0,-0.007633587786259555,0.5990783410138252,369.9,420.37723555696397,319.422764443036,373.5,388.5,430.5,463.5,378.0
2017-09-07,390.0,396.0,384.0,396.0,657,0,0.0,0.01538461538461533,0.6082949308755763,368.85,416.1013213850272,321.59867861497287,373.5,388.5,430.5,463.5,378.0
2017-09-08,396.0,429.0,393.0,423.0,1939,0,0.0,0.06818181818181812,0.6497695852534564,368.25,412.2880617671812,324.2119382328188,384.0,388.5,429.0,463.5,369.0
2017-09-11,429.0,441.0,396.0,417.0,1135,0,0.0,-0.014184397163120588,0.6405529953917052,370.35,419.2664740735575,321.43352592644254,390.0,388.5,427.5,463.5,357.0
2017-09-12,414.0,426.0,387.0,405.0,833,0,0.0,-0.02877697841726623,0.6221198156682028,371.1,421.6492841742182,320.5507158257818,391.5,388.5,420.0,432.0,345.0
2017-09-13,399.0,408.0,378.0,393.0,1328,0,0.0,-0.029629629629629672,0.6036866359447005,372.0,423.4378406684333,320.5621593315667,394.5,388.5,417.75,432.0,333.0
2017-09-14,393.0,411.0,393.0,393.0,1040,0,0.0,0.0,0.6036866359447005,373.8,425.53415217293303,322.065847827067,403.5,388.5,418.5,432.0,321.0
2017-09-15,390.0,411.0,390.0,390.0,1392,0,0.0,-0.007633587786259555,0.599078341013825,375.15,427.09739569987664,323.2026043001233,403.5,388.5,422.25,432.0,303.0
2017-09-18,390.0,399.0,384.0,384.0,709,0,0.0,-0.01538461538461533,0.5898617511520738,376.35,427.9459088953418,324.75409110465824,409.5,387.0,423.0,432.0,321.0
2017-09-19,384.0,390.0,372.0,378.0,673,0,0.0,-0.015625,0.5806451612903227,377.55,428.105583542948,326.994416457052,406.5,387.0,400.5,412.5,309.0
2017-09-20,375.0,378.0,369.0,375.0,574,0,0.0,-0.007936507936507908,0.5760368663594472,379.5,426.32675348670716,332.67324651329284,405.0,387.0,400.5,412.5,291.0
2017-09-21,366.0,372.0,366.0,366.0,413,0,0.0,-0.02400000000000002,0.5622119815668204,380.55,425.09749796269625,336.00250203730377,403.5,387.0,400.5,412.5,291.0
2017-09-22,369.0,378.0,363.0,372.0,446,0,0.0,0.016393442622950838,0.5714285714285715,381.45,424.5018384716502,338.39816152834976,394.5,387.0,400.5,412.5,258.0
2017-09-25,375.0,384.0,366.0,369.0,288,0,0.0,-0.008064516129032251,0.566820276497696,382.35,423.508894721997,341.191105278003,387.0,387.0,400.5,412.5,264.0
2017-09-26,366.0,381.0,360.0,363.0,870,0,0.0,-0.016260162601625994,0.5576036866359448,383.4,421.2960603979332,345.50393960206674,385.5,387.0,400.5,412.5,252.0
2017-09-27,360.0,372.0,354.0,354.0,535,0,0.0,-0.024793388429752095,0.5437788018433181,383.55,420.94698490519784,346.1530150948022,382.5,387.0,394.5,412.5,240.0
2017-09-28,354.0,369.0,345.0,360.0,766,0,0.0,0.016949152542372836,0.5529953917050692,383.85,420.3705828626978,347.32941713730224,372.0,387.0,390.75,412.5,267.0
2017-09-29,363.0,381.0,351.0,369.0,667,0,0.0,0.02499999999999991,0.5668202764976958,384.0,420.246754337452,347.753245662548,367.5,390.0,380.25,412.5,264.0
2017-10-02,366.0,375.0,351.0,372.0,433,0,0.0,0.008130081300812941,0.5714285714285714,383.1,419.60189301507256,346.5981069849275,364.5,390.0,377.25,412.5,258.0
2017-10-03,372.0,405.0,366.0,369.0,1807,0,0.0,-0.008064516129032251,0.5668202764976958,381.9,418.60076069768934,345.1992393023106,375.0,390.0,374.25,412.5,258.0
2017-10-04,369.0,381.0,357.0,366.0,511,0,0.0,-0.008130081300813052,0.5622119815668203,380.7,417.83452098008854,343.56547901991144,375.0,390.0,371.25,412.5,279.0
2017-10-05,369.0,399.0,369.0,387.0,1177,0,0.0,0.05737704918032782,0.5944700460829493,380.25,416.8402739449707,343.6597260550293,375.0,391.5,370.5,412.5,231.0
