Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,daily_return,cum_return,middle_band,upper_band,lower_band,Conversion,Baseline,SpanA,SpanB,Lagging
2021-12-22,4.400000095367432,4.659999847412109,3.069999933242798,3.5199999809265137,2330100,0,0,,,,,,,,,,2.657999992370605
2021-12-23,3.299999952316284,3.5,3.0799999237060547,3.119999885559082,527200,0,0,-0.11363639134513459,0.8863636086548654,,,,,,,,2.690000057220459
2021-12-27,3.119999885559082,3.150000095367432,2.819999933242798,3.150000095367432,396700,0,0,0.009615452214343234,0.8948863955784191,,,,,,,,2.609999895095825
2021-12-28,3.009999990463257,3.1700000762939453,2.900000095367432,2.9200000762939453,268400,0,0,-0.07301587686036515,0.8295454807148492,,,,,,,,2.509999990463257
2021-12-29,2.8499999046325684,3.0299999713897705,2.609999895095825,2.640000104904175,326200,0,0,-0.0958903986554499,0.7500000338662756,,,,,,,,2.4200000762939453
2021-12-30,2.650000095367432,2.809999942779541,2.619999885559082,2.6600000858306885,218000,0,0,0.00757575004991895,0.7556818466602773,,,,,,,,2.400000095367432
2021-12-31,2.7100000381469727,2.7100000381469727,2.549999952316284,2.609999895095825,137300,0,0,-0.01879706357951072,0.741477246942722,,,,,,,,2.319999933242798
2022-01-03,2.690000057220459,2.900000095367432,2.640000104904175,2.805000066757202,277100,0,0,0.07471271245174416,0.7968750232830645,,,,,,,,2.309999942779541
2022-01-04,2.990000009536743,3.009999990463257,2.799999952316284,2.8499999046325684,193200,0,0,0.016042722568413215,0.8096590682032925,,,,3.6049998998641968,,,,2.259999990463257
2022-01-05,2.890000104904175,3.0,2.809999942779541,2.8499999046325684,93100,0,0,0.0,0.8096590682032925,,,,3.024999976158142,,,,2.0899999141693115
2022-01-06,2.8499999046325684,2.9100000858306885,2.5999999046325684,2.690000057220459,77000,0,0,-0.05614029921616337,0.7642045658512796,,,,2.8600000143051147,,,,2.0199999809265137
2022-01-07,2.6519999504089355,2.799999952316284,2.640000104904175,2.7100000381469727,56000,0,0,0.007434936989250351,0.7698863786452813,,,,2.8600000143051147,,,,2.130000114440918
2022-01-10,2.740000009536743,2.7799999713897705,2.680000066757202,2.763999938964844,32000,0,0,0.01992616238293321,0.7852272596425756,,,,2.7899999618530273,,,,2.009999990463257
2022-01-11,2.789999961853028,2.990000009536743,2.740000009536743,2.930000066757202,180200,0,0,0.060057934680898484,0.8323863871118503,,,,2.7799999713897705,,,,1.8899999856948853
2022-01-12,3.470000028610229,3.619999885559082,3.0199999809265137,3.2799999713897705,13967100,0,0,0.1194538896444235,0.9318181787394296,,,,3.084999918937683,,,,1.870000004768372
2022-01-13,3.0899999141693115,3.0899999141693115,2.700000047683716,2.7699999809265137,513100,0,0,-0.15548780332676782,0.7869318170272862,,,,3.109999895095825,,,,
2022-01-14,2.5199999809265137,2.759999990463257,2.5199999809265137,2.740000009536743,126000,0,0,-0.010830314655719264,0.7784090978362838,,,,3.069999933242798,,,,
2022-01-18,2.650000095367432,2.869999885559082,2.509999990463257,2.799999952316284,164800,0,0,0.02189778925938235,0.7954545362182887,,,,3.0649999380111694,,,,
2022-01-19,2.740000009536743,2.990000009536743,2.690000057220459,2.900000095367432,81300,0,0,0.035714337412192876,0.823863667920848,,,,3.0649999380111694,,,,
2022-01-20,2.809999942779541,2.930000066757202,2.700000047683716,2.720000028610229,193900,0,0,-0.06206898649580794,0.772727285042282,2.8714500069618225,3.328158312001133,2.414741701922512,3.0649999380111694,,,,
2022-01-21,2.5899999141693115,2.650000095367432,2.450000047683716,2.490000009536743,70400,0,0,-0.08455882965229355,0.7073863701787124,2.819950008392334,3.197087104967673,2.442812911816995,3.034999966621399,,,,
2022-01-24,2.380000114440918,2.799999952316284,2.25,2.6600000858306885,421700,0,0,0.06827312274812924,0.7556818466602773,2.7969500184059144,3.1534088995106013,2.4404911373012275,2.934999942779541,,,,
