Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,cum_return,middle_band,upper_band,lower_band,Conversion,Baseline,SpanA,SpanB,Lagging
2017-02-21,2.559999942779541,2.559999942779541,2.559999942779541,2.559999942779541,0,0,0,,,,,,,,,3.490000009536743
2017-02-22,2.559999942779541,2.559999942779541,2.559999942779541,2.559999942779541,0,0,0,1.0,,,,,,,,3.5
2017-02-23,2.82699990272522,2.82699990272522,2.763999938964844,2.763999938964844,13700,0,0,1.0796875002910384,,,,,,,,3.539999961853028
2017-02-24,2.753000020980835,2.753000020980835,2.753000020980835,2.753000020980835,100,0,0,1.075390657232493,,,,,,,,3.552000045776367
2017-02-27,2.753000020980835,2.753000020980835,2.753000020980835,2.753000020980835,0,0,0,1.075390657232493,,,,,,,,3.559999942779541
2017-02-28,2.7960000038146973,2.7960000038146973,2.7960000038146973,2.7960000038146973,1000,0,0,1.09218752590241,,,,,,,,3.559999942779541
2017-03-01,2.7780001163482666,2.7780001163482666,2.7100000381469727,2.7100000381469727,2000,0,0,1.0585937885625765,,,,,,,,3.450000047683716
2017-03-02,2.7060000896453857,2.7300000190734863,2.7039999961853027,2.7300000190734863,5000,0,0,1.0664062812866186,,,,,,,,3.51200008392334
2017-03-03,2.7039999961853027,2.7039999961853027,2.7039999961853027,2.7039999961853027,1000,0,0,1.0562500221189115,,,,2.6934999227523804,,,,3.507999897003174
2017-03-06,2.6760001182556152,2.6760001182556152,2.674999952316284,2.6760001182556152,300,0,0,1.0453125695581564,,,,2.6934999227523804,,,,3.507999897003174
2017-03-07,2.6600000858306885,2.680000066757202,2.6600000858306885,2.680000066757202,2700,0,0,1.0468750494765129,,,,2.743499994277954,,,,3.507999897003174
2017-03-08,2.671999931335449,2.7300000190734863,2.671999931335449,2.7300000190734863,2000,0,0,1.0664062812866184,,,,2.728000044822693,,,,3.507999897003174
2017-03-09,2.687000036239624,2.7100000381469727,2.687000036239624,2.7100000381469727,7100,0,0,1.0585937885625762,,,,2.728000044822693,,,,3.507999897003174
2017-03-10,2.990000009536743,2.990000009536743,2.990000009536743,2.990000009536743,1000,0,0,1.1679687798314269,,,,2.825000047683716,,,,3.507999897003174
2017-03-13,3.3410000801086426,3.3489999771118164,3.325999975204468,3.325999975204468,5000,0,0,1.299218769354048,,,,3.0045000314712524,,,,3.507999897003174
2017-03-14,3.325999975204468,3.325999975204468,3.325999975204468,3.325999975204468,0,0,0,1.299218769354048,,,,3.0045000314712524,,,,3.1600000858306885
2017-03-15,3.4670000076293945,3.6649999618530273,3.4670000076293945,3.6649999618530273,14200,0,0,1.431640642098501,,,,3.162500023841858,,,,3.1459999084472656
2017-03-16,3.7160000801086426,3.829999923706055,3.7160000801086426,3.829999923706055,600,0,0,1.4960937536379793,,,,3.245000004768372,,,,3.1459999084472656
2017-03-17,3.819999933242798,4.015999794006348,3.819999933242798,3.9579999446868896,1400,0,0,1.546093762951205,,,,3.337999939918518,,,,3.0169999599456787
2017-03-20,3.9800000190734863,4.0,3.885999917984009,3.885999917984009,3000,0,0,1.5179687518917493,3.005349993705749,3.93358897940334,2.077111008008159,3.3439998626708984,,,,2.997999906539917
2017-03-21,3.885999917984009,3.885999917984009,3.885999917984009,3.885999917984009,0,0,0,1.5179687518917493,3.071649992465973,4.051730435814096,2.0915695491178496,3.351499915122986,,,,2.8929998874664307
2017-03-22,3.885999917984009,3.885999917984009,3.885999917984009,3.885999917984009,0,0,0,1.5179687518917493,3.137949991226196,4.149847835736407,2.1260521467159856,3.5029999017715454,,,,2.990999937057495
2017-03-23,3.490000009536743,3.490000009536743,3.490000009536743,3.490000009536743,100,0,0,1.3632812841970017,3.174249994754791,4.181917642902185,2.166582346607397,3.670999884605408,,,,3.1070001125335693
2017-03-24,3.490000009536743,3.490000009536743,3.490000009536743,3.490000009536743,0,0,0,1.3632812841970017,3.211099994182587,4.208186752541464,2.21401323582371,3.670999884605408,,,,3.049999952316284
2017-03-27,3.490000009536743,3.490000009536743,3.490000009536743,3.490000009536743,0,0,0,1.3632812841970017,3.247949993610382,4.228759665862972,2.267140321357792,3.741499900817871,,,,3.049999952316284
2017-03-28,3.490000009536743,3.490000009536743,3.490000009536743,3.490000009536743,0,0,0,1.3632812841970017,3.2826499938964844,4.245803911043226,2.3194960767497426,3.7529999017715454,3.2879998683929443,,,2.901000022888184
2017-03-29,3.490000009536743,3.490000009536743,3.490000009536743,3.490000009536743,0,0,0,1.3632812841970017,3.321649992465973,4.251114473143148,2.392185511788798,3.7529999017715454,3.2879998683929443,,,2.901000022888184
2017-03-30,3.490000009536743,3.5,3.490000009536743,3.5,5100,0,0,1.3671875305590226,3.3601499915122988,4.250972836305,2.4693271467195967,3.745000004768372,3.337999939918518,,,3.069000005722046
2017-03-31,3.5480000972747803,3.5480000972747803,3.539999961853028,3.539999961853028,2800,0,0,1.3828125160071072,3.4019499897956846,4.242182511320375,2.5617174682709942,3.687999963760376,3.337999939918518,,,3.046999931335449
2017-04-03,3.5899999141693115,3.5899999141693115,3.539999961853028,3.552000045776367,19000,0,0,1.387500048894436,3.4457499861717222,4.217909763073555,2.6735902092698893,3.687999963760376,3.337999939918518,,,3.046999931335449
2017-04-04,3.559999942779541,3.559999942779541,3.559999942779541,3.559999942779541,2900,0,0,1.3906250087311491,3.4897499799728395,4.17712375074542,2.8023762092002595,3.539999961853028,3.337999939918518,,,2.9170000553131104
2017-04-05,3.559999942779541,3.559999942779541,3.559999942779541,3.559999942779541,0,0,0,1.3906250087311491,3.531249976158142,4.122695910808331,2.939804041507953,3.539999961853028,3.337999939918518,,,2.9170000553131104
2017-04-06,3.431999921798706,3.461999893188477,3.431999921798706,3.450000047683716,6500,0,0,1.347656298748917,3.56824997663498,4.025677701984351,3.110822251285608,3.510999917984009,3.337999939918518,,,2.9170000553131104
2017-04-07,3.51200008392334,3.51200008392334,3.51200008392334,3.51200008392334,500,0,0,1.3718750634463517,3.594349980354309,3.9678717135498975,3.2208282471587206,3.510999917984009,3.337999939918518,,,2.9170000553131104
2017-04-10,3.503999948501587,3.507999897003174,3.503999948501587,3.507999897003174,200,0,0,1.370312490395735,3.603449976444245,3.958599521358844,3.2483004315296453,3.510999917984009,3.337999939918518,,,3.0209999084472656
2017-04-11,3.507999897003174,3.507999897003174,3.507999897003174,3.507999897003174,0,0,0,1.370312490395735,3.61254997253418,3.947324794615476,3.277775150452884,3.510999917984009,3.337999939918518,,,3.0390000343322754
2017-04-12,3.507999897003174,3.507999897003174,3.507999897003174,3.507999897003174,0,0,0,1.370312490395735,3.604699969291687,3.9415661824009702,3.267833756182404,3.510999917984009,3.3439998626708984,,,3.046999931335449
2017-04-13,3.507999897003174,3.507999897003174,3.507999897003174,3.507999897003174,0,0,0,1.370312490395735,3.588599967956543,3.911180434379207,3.2660195015338784,3.510999917984009,3.351499915122986,,,3.046999931335449
2017-04-17,3.507999897003174,3.507999897003174,3.507999897003174,3.507999897003174,0,0,0,1.370312490395735,3.566099965572357,3.841298894078818,3.290901037065896,3.4959999322891235,3.5029999017715454,,,3.046999931335449
2017-04-18,3.507999897003174,3.507999897003174,3.507999897003174,3.507999897003174,0,0,0,1.370312490395735,3.5471999645233154,3.780183278578937,3.314216650467693,3.4959999322891235,3.670999884605408,,,3.046999931335449
2017-04-19,3.507999897003174,3.507999897003174,3.507999897003174,3.507999897003174,0,0,0,1.370312490395735,3.5282999634742738,3.7013289628041095,3.355270964144438,3.472000002861023,3.670999884605408,,,3.049999952316284
2017-04-20,3.130000114440918,3.1679999828338623,3.0799999237060547,3.1600000858306885,7100,0,0,1.2343750611180448,3.4919999718666075,3.653760701934592,3.330239241798622,3.2960000038146973,3.547999858856201,,,3.049999952316284
2017-04-21,3.1459999084472656,3.1459999084472656,3.1459999084472656,3.1459999084472656,100,0,0,1.2289062417054075,3.474799966812134,3.696553734736376,3.253046198887892,3.2939999103546143,3.547999858856201,,,3.049999952316284
2017-04-24,3.1459999084472656,3.1459999084472656,3.1459999084472656,3.1459999084472656,0,0,0,1.2289062417054075,3.45759996175766,3.7217785048361263,3.1934214186791934,3.2939999103546143,3.547999858856201,,,3.5179998874664307
2017-04-25,3.0169999599456787,3.0169999599456787,3.0169999599456787,3.0169999599456787,600,0,0,1.1785156356956572,3.433949959278107,3.7603959424383024,3.1075039761179117,3.2624999284744263,3.50849997997284,,,3.5179998874664307
2017-04-26,2.993000030517578,2.997999906539917,2.9820001125335693,2.997999906539917,9100,0,0,1.1710937396681391,3.409349954128265,3.78606104195934,3.032638866297191,3.245000004768372,3.434000015258789,,,3.5179998874664307
2017-04-27,2.8949999809265137,2.8949999809265137,2.8929998874664307,2.8929998874664307,300,0,0,1.1300781063007876,3.37949994802475,3.816421265056285,2.942578630993215,3.2004998922348022,3.38949990272522,,,3.497999906539917
2017-04-28,2.91599988937378,2.990999937057495,2.91599988937378,2.990999937057495,600,0,0,1.16835937652795,3.3540499448776244,3.818659602280233,2.889440287475016,3.2004998922348022,3.241499900817871,,,3.497999906539917
2017-05-01,3.0,3.1070001125335693,3.0,3.1070001125335693,4100,0,0,1.2136719460861063,3.3323999524116514,3.8007116939966976,2.8640882108266053,3.2004998922348022,3.241499900817871,,,3.497999906539917
2017-05-02,3.052999973297119,3.052999973297119,3.049999952316284,3.049999952316284,16100,0,0,1.1914062580035525,3.3072999477386475,3.7796794506206224,2.8349204448566727,3.0304999351501465,3.241499900817871,,,3.497999906539917
2017-05-03,3.049999952316284,3.049999952316284,3.049999952316284,3.049999952316284,0,0,0,1.1914062580035525,3.2817999482154847,3.7518927659353767,2.8117071304955927,3.019499897956848,3.241499900817871,,,3.497999906539917
2017-05-04,2.953000068664551,2.953000068664551,2.901000022888184,2.901000022888184,31100,0,0,1.1332031592697605,3.2488499522209167,3.728712029146191,2.7689878752956423,3.019499897956848,3.241499900817871,3.520499885082245,,3.497999906539917
2017-05-05,2.901000022888184,2.901000022888184,2.901000022888184,2.901000022888184,0,0,0,1.1332031592697605,3.22139995098114,3.714861789324309,2.727938112637971,3.0,3.241499900817871,3.520499885082245,,3.497999906539917
2017-05-08,2.9200000762939453,3.069000005722046,2.9200000762939453,3.069000005722046,10500,0,0,1.1988281540310706,3.199249947071076,3.677937764789499,2.720562129352652,3.0,3.241499900817871,3.541499972343445,,3.497999906539917
2017-05-09,3.046999931335449,3.046999931335449,3.046999931335449,3.046999931335449,5000,0,0,1.1902343747817203,3.1761999487876893,3.6370755242436936,2.715324373331685,3.0,3.241499900817871,3.512999951839447,,3.497999906539917
2017-05-10,3.046999931335449,3.046999931335449,3.046999931335449,3.046999931335449,0,0,0,1.1902343747817203,3.153149950504303,3.5906126517693515,2.715687249239254,3.0040000677108765,3.226499915122986,3.512999951839447,,3.497999906539917
2017-05-11,2.940000057220459,2.940000057220459,2.9170000553131104,2.9170000553131104,1200,0,0,1.139453172075446,3.1235999584198,3.540323646466614,2.706876270372986,3.0040000677108765,3.226499915122986,3.4389999508857727,,3.497999906539917
2017-05-12,2.9170000553131104,2.9170000553131104,2.9170000553131104,2.9170000553131104,0,0,0,1.139453172075446,3.0940499663352967,3.479901698206737,2.708198234463856,2.9850000143051147,3.2024999856948853,3.4389999508857727,,3.497999906539917
2017-05-15,2.9170000553131104,2.9170000553131104,2.9170000553131104,2.9170000553131104,0,0,0,1.139453172075446,3.064499974250793,3.406614568246239,2.722385380255348,2.9850000143051147,3.2024999856948853,3.4244999289512634,,3.226999998092652
2017-05-16,2.9170000553131104,2.9170000553131104,2.9170000553131104,2.9170000553131104,0,0,0,1.139453172075446,3.03494998216629,3.314487352635381,2.755412611697199,2.9850000143051147,3.2004998922348022,3.4244999289512634,,3.226999998092652
2017-05-17,3.0480000972747803,3.0480000972747803,3.013999938964844,3.0209999084472656,12500,0,0,1.1800781156140137,3.010599982738495,3.1853501996072016,2.8358497658697885,2.9850000143051147,3.2004998922348022,3.4244999289512634,,3.226999998092652
2017-05-18,3.0390000343322754,3.0390000343322754,3.0390000343322754,3.0390000343322754,5000,0,0,1.1871094149450074,3.004549980163574,3.1659183656385417,2.8431815946886068,2.993000030517578,3.2004998922348022,3.4244999289512634,,3.226999998092652
2017-05-19,3.046999931335449,3.046999931335449,3.046999931335449,3.046999931335449,100,0,0,1.1902343747817206,2.999599981307983,3.1487964772860817,2.8504034853298847,2.9825000762939453,3.2004998922348022,3.4274998903274536,,3.226999998092652
2017-05-22,3.046999931335449,3.046999931335449,3.046999931335449,3.046999931335449,0,0,0,1.1902343747817206,2.9946499824523927,3.129858218821185,2.8594417460836,2.9825000762939453,3.2004998922348022,3.4312499165534973,,3.226999998092652
2017-05-23,3.046999931335449,3.046999931335449,3.046999931335449,3.046999931335449,0,0,0,1.1902343747817206,2.996149981021881,3.1329903055056763,2.8593096565380858,2.9825000762939453,3.2004998922348022,3.4994999170303345,,3.226999998092652
2017-05-24,3.046999931335449,3.046999931335449,3.046999931335449,3.046999931335449,0,0,0,1.1902343747817206,2.998599982261658,3.137247428851479,2.8599525356718365,2.9825000762939453,3.2004998922348022,3.5834999084472656,,3.226999998092652
2017-05-25,3.049999952316284,3.049999952316284,3.049999952316284,3.049999952316284,100,0,0,1.191406258003553,3.00644998550415,3.1378022220492703,2.87509774895903,2.9835000038146973,3.0304999351501465,3.5714999437332158,,3.226999998092652
2017-05-26,3.049999952316284,3.049999952316284,3.049999952316284,3.049999952316284,0,0,0,1.191406258003553,3.00939998626709,3.141889336747002,2.8769106357871777,2.9835000038146973,3.019499897956848,3.421999931335449,,3.226999998092652
2017-05-30,3.049999952316284,3.049999952316284,3.049999952316284,3.049999952316284,0,0,0,1.191406258003553,3.006549978256225,3.1327555614335707,2.8803443950788803,3.031999945640564,3.019499897956848,3.420999884605408,,3.226999998092652
2017-05-31,3.5179998874664307,3.5179998874664307,3.5179998874664307,3.5179998874664307,500,0,0,1.374218736757756,3.029949975013733,3.2872840877555034,2.7726158622719628,3.278499960899353,3.2054998874664307,3.420999884605408,,3.226999998092652
2017-06-01,3.5179998874664307,3.5179998874664307,3.5179998874664307,3.5179998874664307,0,0,0,1.374218736757756,3.05334997177124,3.388141561323476,2.7185583822190047,3.28249990940094,3.2054998874664307,3.385499954223633,,3.226999998092652
2017-06-02,3.5179998874664307,3.5179998874664307,3.5179998874664307,3.5179998874664307,0,0,0,1.374218736757756,3.0841999650001526,3.467861977348744,2.7005379526515614,3.28249990940094,3.2054998874664307,3.3395000100135803,,3.226999998092652
2017-06-05,3.497999906539917,3.497999906539917,3.497999906539917,3.497999906539917,500,0,0,1.366406244033714,3.114049959182739,3.528089195396795,2.700010722968683,3.28249990940094,3.209499955177307,3.294999897480011,,3.0190000534057617
2017-06-06,3.497999906539917,3.497999906539917,3.497999906539917,3.497999906539917,0,0,0,1.366406244033714,3.135499954223633,3.581553615157018,2.6894462932902474,3.28249990940094,3.209499955177307,3.2209998965263367,,3.0209999084472656
2017-06-07,3.497999906539917,3.497999906539917,3.497999906539917,3.497999906539917,0,0,0,1.366406244033714,3.1580499529838564,3.629105093931759,2.686994812035954,3.2839999198913574,3.209499955177307,3.2209998965263367,,3.0209999084472656
2017-06-08,3.497999906539917,3.497999906539917,3.497999906539917,3.497999906539917,0,0,0,1.366406244033714,3.1805999517440795,3.6712214652688586,2.6899784382193004,3.2839999198913574,3.209499955177307,3.135999917984009,,3.0199999809265137
2017-06-09,3.497999906539917,3.497999906539917,3.497999906539917,3.497999906539917,0,0,0,1.366406244033714,3.20964994430542,3.703225582483746,2.7160743061270938,3.2839999198913574,3.209499955177307,3.13049989938736,,3.119999885559082
2017-06-12,3.497999906539917,3.497999906539917,3.497999906539917,3.497999906539917,0,0,0,1.366406244033714,3.23869993686676,3.728290814105753,2.749109059627768,3.507999897003174,3.209499955177307,3.13049989938736,3.2879998683929443,3.119999885559082
2017-06-13,3.497999906539917,3.497999906539917,3.497999906539917,3.497999906539917,0,0,0,1.366406244033714,3.2677499294281005,3.746243836339001,2.7892560225172,3.507999897003174,3.2174999713897705,3.1207499504089355,3.2879998683929443,3.119999885559082
2017-06-14,3.497999906539917,3.497999906539917,3.497999906539917,3.497999906539917,0,0,0,1.366406244033714,3.296799921989441,3.756569958234493,2.837029885744389,3.507999897003174,3.2174999713897705,3.1207499504089355,3.337999939918518,3.319000005722046
2017-06-15,3.497999906539917,3.497999906539917,3.497999906539917,3.497999906539917,0,0,0,1.366406244033714,3.320649921894073,3.769975565912402,2.871324277875745,3.497999906539917,3.2174999713897705,3.1207499504089355,3.337999939918518,3.319000005722046
2017-06-16,3.497999906539917,3.497999906539917,3.497999906539917,3.497999906539917,0,0,0,1.366406244033714,3.343599915504456,3.7795862857406064,2.9076135452683047,3.497999906539917,3.2174999713897705,3.115249991416931,3.337999939918518,3.319000005722046
2017-06-19,3.497999906539917,3.497999906539917,3.497999906539917,3.497999906539917,0,0,0,1.366406244033714,3.366149914264679,3.784552810736232,2.947747017793126,3.497999906539917,3.2174999713897705,3.115249991416931,3.337999939918518,3.319000005722046
2017-06-20,3.497999906539917,3.497999906539917,3.497999906539917,3.497999906539917,0,0,0,1.366406244033714,3.3886999130249023,3.783573688880427,2.993826137169377,3.497999906539917,3.2174999713897705,3.09375,3.337999939918518,3.377000093460083
2017-06-21,3.242000102996826,3.242000102996826,3.226999998092652,3.226999998092652,400,0,0,1.2605469024303604,3.3976999163627624,3.7682089662472,3.0271908664783247,3.362499952316284,3.2174999713897705,3.09375,3.337999939918518,3.377000093460083
2017-06-22,3.226999998092652,3.226999998092652,3.226999998092652,3.226999998092652,0,0,0,1.2605469024303604,3.4066999197006225,3.750172653485252,3.0632271859159927,3.362499952316284,3.265999913215637,3.0927499532699585,3.337999939918518,3.377000093460083
2017-06-23,3.226999998092652,3.226999998092652,3.226999998092652,3.226999998092652,0,0,0,1.2605469024303604,3.4155499219894407,3.7293338655470256,3.101765978431856,3.362499952316284,3.278499960899353,3.0927499532699585,3.337999939918518,3.507999897003174
2017-06-26,3.226999998092652,3.226999998092652,3.226999998092652,3.226999998092652,0,0,0,1.2605469024303604,3.4243999242782595,3.704245895994599,3.14455395256192,3.362499952316284,3.28249990940094,3.09674996137619,3.337999939918518,3.6470000743865967
2017-06-27,3.226999998092652,3.226999998092652,3.226999998092652,3.226999998092652,0,0,0,1.2605469024303604,3.4332499265670777,3.67311183018544,3.1933880229487155,3.362499952316284,3.28249990940094,3.091499984264374,3.3439998626708984,3.6470000743865967
2017-06-28,3.226999998092652,3.226999998092652,3.226999998092652,3.226999998092652,0,0,0,1.2605469024303604,3.418699932098389,3.671338726859101,3.1660611373376764,3.362499952316284,3.28249990940094,3.091499984264374,3.351499915122986,3.6470000743865967
2017-06-29,3.226999998092652,3.226999998092652,3.226999998092652,3.226999998092652,0,0,0,1.2605469024303604,3.4041499376296995,3.665696929676152,3.142602945583248,3.362499952316284,3.28249990940094,3.091499984264374,3.454499840736389,3.6470000743865967
2017-06-30,3.226999998092652,3.226999998092652,3.226999998092652,3.226999998092652,0,0,0,1.2605469024303604,3.3895999431610107,3.656573983282197,3.122625903039824,3.362499952316284,3.2839999198913574,3.091499984264374,3.454499840736389,3.6470000743865967
2017-07-03,3.226999998092652,3.226999998092652,3.226999998092652,3.226999998092652,0,0,0,1.2605469024303604,3.376049947738648,3.647163367111816,3.1049365283654797,3.2345000505447388,3.2839999198913574,3.006999969482422,3.454499840736389,3.6470000743865967
2017-07-05,3.226999998092652,3.226999998092652,3.226999998092652,3.226999998092652,0,0,0,1.2605469024303604,3.362499952316285,3.6349791910105487,3.090020713622021,3.226999998092652,3.2839999198913574,3.0014999508857727,3.454499840736389,3.200000047683716
2017-07-06,3.226999998092652,3.226999998092652,3.226999998092652,3.226999998092652,0,0,0,1.2605469024303604,3.3489499568939216,3.62006337626709,3.0778365375207533,3.226999998092652,3.372499942779541,3.025749921798706,3.454499840736389,3.200000047683716
2017-07-07,3.226999998092652,3.226999998092652,3.226999998092652,3.226999998092652,0,0,0,1.2605469024303604,3.335399961471558,3.6023740015927457,3.06842592135037,3.226999998092652,3.372499942779541,3.241999924182892,3.454499840736389,3.200000047683716
2017-07-10,3.226999998092652,3.226999998092652,3.226999998092652,3.226999998092652,0,0,0,1.2605469024303604,3.321849966049195,3.581778593411898,3.061921338686492,3.226999998092652,3.372499942779541,3.2439998984336853,3.4464999437332158,2.9760000705718994
2017-07-11,3.226999998092652,3.226999998092652,3.226999998092652,3.226999998092652,0,0,0,1.2605469024303604,3.308299970626832,3.5580313179509115,3.058568623302752,3.226999998092652,3.362499952316284,3.2439998984336853,3.38949990272522,3.049999952316284
2017-07-12,3.0190000534057617,3.0190000534057617,3.0190000534057617,3.0190000534057617,400,0,0,1.1792969222209655,3.284349977970124,3.5483430669431533,3.020356888997095,3.1230000257492065,3.25849997997284,3.2459999322891235,3.38949990272522,3.049999952316284
2017-07-13,3.0199999809265137,3.0209999084472656,3.0199999809265137,3.0209999084472656,16100,0,0,1.180078115614014,3.2604999780654915,3.529173482182795,2.991826473948188,3.1230000257492065,3.25849997997284,3.2459999322891235,3.241499900817871,3.049999952316284
2017-07-14,3.0209999084472656,3.0209999084472656,3.0209999084472656,3.0209999084472656,0,0,0,1.180078115614014,3.236649978160859,3.501372768575324,2.971927187746393,3.1230000257492065,3.25849997997284,3.2467499375343323,3.241499900817871,3.049999952316284
2017-07-17,3.0199999809265137,3.0199999809265137,3.0199999809265137,3.0199999809265137,2400,0,0,1.1796875189174896,3.212749981880189,3.464639261558742,2.960860702201636,3.1230000257492065,3.25849997997284,3.2467499375343323,3.241499900817871,3.049999952316284
2017-07-18,3.119999885559082,3.119999885559082,3.119999885559082,3.119999885559082,500,0,0,1.2187499825377008,3.1938499808311467,3.4113158914221384,2.976384070240155,3.1230000257492065,3.25849997997284,3.2467499375343323,3.241499900817871,3.049999952316284
2017-07-19,3.119999885559082,3.119999885559082,3.119999885559082,3.119999885559082,0,0,0,1.2187499825377008,3.174949979782105,3.343014464206582,3.006885495357628,3.1230000257492065,3.25849997997284,3.3587499260902405,3.241499900817871,3.049999952316284
2017-07-20,3.119999885559082,3.119999885559082,3.119999885559082,3.119999885559082,0,0,0,1.2187499825377008,3.169599974155426,3.337506699509647,3.001693248801205,3.1230000257492065,3.25849997997284,3.362749934196472,3.241499900817871,3.049999952316284
2017-07-21,3.313999891281128,3.319000005722046,3.313999891281128,3.319000005722046,7200,0,0,1.2964844062138583,3.174199974536896,3.3529564547598696,2.995443494313922,3.169000029563904,3.25849997997284,3.362749934196472,3.241499900817871,3.049999952316284
2017-07-24,3.319000005722046,3.319000005722046,3.319000005722046,3.319000005722046,0,0,0,1.2964844062138583,3.1787999749183653,3.3673310249481285,2.990268924888602,3.169000029563904,3.25849997997284,3.357749938964844,3.241499900817871,3.049999952316284
2017-07-25,3.319000005722046,3.319000005722046,3.319000005722046,3.319000005722046,0,0,0,1.2964844062138583,3.183399975299835,3.380790201071108,2.9860097495285625,3.16949999332428,3.25849997997284,3.357749938964844,3.226499915122986,3.049999952316284
2017-07-26,3.319000005722046,3.319000005722046,3.319000005722046,3.319000005722046,0,0,0,1.2964844062138583,3.187999975681305,3.3934524335294243,2.982547517833186,3.16949999332428,3.25849997997284,3.357749938964844,3.226499915122986,3.049999952316284
2017-07-27,3.377000093460083,3.377000093460083,3.377000093460083,3.377000093460083,500,0,0,1.3191406909929364,3.1954999804496764,3.416629213335819,2.9743707475635337,3.1985000371932983,3.1980000734329224,3.357749938964844,3.2054998874664307,3.049999952316284
2017-07-28,3.377000093460083,3.377000093460083,3.377000093460083,3.377000093460083,0,0,0,1.3191406909929364,3.202999985218048,3.4377991247895903,2.968200845646506,3.2484999895095825,3.1980000734329224,3.289999961853028,3.2054998874664307,3.049999952316284
2017-07-31,3.377000093460083,3.377000093460083,3.377000093460083,3.377000093460083,0,0,0,1.3191406909929364,3.2104999899864195,3.457295871953685,2.963704108019154,3.2484999895095825,3.1980000734329224,3.3142499327659607,3.2054998874664307,2.940000057220459
2017-08-01,3.51200008392334,3.51200008392334,3.507999897003174,3.507999897003174,3000,0,0,1.370312490395735,3.224549984931946,3.5037451291583315,2.9453548407055603,3.315999984741211,3.265500068664551,3.3204999566078186,3.2054998874664307,2.940000057220459
2017-08-02,3.6470000743865967,3.6470000743865967,3.6470000743865967,3.6470000743865967,500,0,0,1.4246094358997663,3.2455499887466432,3.5805857496991718,2.910514227794115,3.4804999828338623,3.333000063896179,3.322499930858612,3.2054998874664307,2.940000057220459
2017-08-03,3.6470000743865967,3.6470000743865967,3.6470000743865967,3.6470000743865967,0,0,0,1.4246094358997663,3.26654999256134,3.644678767005877,2.888421218116803,3.4830000400543213,3.333000063896179,3.322499930858612,3.2054998874664307,1.690000057220459
