Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,cum_return,middle_band,upper_band,lower_band,Conversion,Baseline,SpanA,SpanB,Lagging
2017-02-21,159.87282487681713,164.7807777857598,156.169997688573,156.61705017089844,3286400,0.0,0,,,,,,,,,145.51771545410156
2017-02-22,156.21862701163514,157.43346636146237,150.90248883042452,155.1884307861328,3442900,0.0,0,0.9908782639999494,,,,,,,,144.5454559326172
2017-02-23,154.92601906962145,155.16898691277828,152.2533727948963,153.28355407714844,1395800,0.0,0,0.9787156245752776,,,,,,,,144.14683532714844
2017-02-24,152.0589568797829,153.77915802741435,151.0773575904501,152.90447998046875,1599600,0.0,0,0.976295236142051,,,,,,,,141.46337890625
2017-02-27,152.43801732099,152.96282129103514,150.9899237644911,152.52548217773438,1443300,0.0,0,0.9738753348457312,,,,,,,,139.07167053222656
2017-02-28,151.26207171619222,154.22628260130404,150.81500432467476,152.2047882080078,1087300,0.0,0,0.9718277035732954,,,,,,,,138.77999877929688
2017-03-01,154.12907447615146,154.12907447615146,151.26205694768578,152.27279663085938,1037800,0.0,0,0.972261937411676,,,,,,,,138.60494995117188
2017-03-02,152.2727594555914,153.64310128931982,152.04923325101822,152.9336395263672,1158100,0.0,0,0.976481419867684,,,,,,,,138.10914611816406
2017-03-03,152.87537083187996,153.69173923086973,149.9597566958476,150.980224609375,1252000,0.0,0,0.9640088639431492,,,,157.37026724080368,,,,138.87721252441406
2017-03-06,150.9802431686596,151.70914679226834,149.85286867171166,149.9111785888672,1057600,0.0,0,0.9571830041830448,,,,153.64316751658703,,,,139.47999572753906
2017-03-07,149.92081235532353,150.44563099020243,147.35507355584423,147.7146759033203,1102700,0.0,0,0.9431583326472824,,,,151.26203023431125,,,,137.80770874023438
2017-03-08,149.19196879327586,151.3592526274637,148.5213900042694,150.8441619873047,1415600,0.0,0,0.9631401039842444,,,,150.79067807857413,,,,136.98130798339844
2017-03-09,150.61089791932326,151.10654694818976,149.8722810632435,150.78582763671875,1024600,0.0,0,0.9627676391055976,,,,150.79067807857413,,,,136.9326934814453
2017-03-10,151.14545710849615,151.427293313401,149.0753661053349,149.63905334472656,1064500,0.0,0,0.9554454842652348,,,,150.79067807857413,,,,137.00076293945312
2017-03-13,148.4630598637806,150.60118866542123,147.7147296127861,150.0083465576172,978900,0.0,0,0.9578034217470583,,,,150.74207401599784,,,,138.46888732910156
2017-03-14,149.9597530795553,150.29018578123794,148.59912428447032,149.3863525390625,896600,0.0,0,0.9538319894037984,,,,150.523406393357,,,,142.49398803710938
2017-03-15,149.25999942267927,149.2794410014029,146.89834439867386,148.61856079101562,1593700,0.0,0,0.9489296384323742,,,,150.2950418147718,,,,142.76622009277344
2017-03-16,148.44365076382755,149.44467717198725,147.55924418432136,149.0948028564453,583400,0.0,0,0.9519704444296142,,,,149.3037455954711,,,,143.01902770996094
2017-03-17,148.13260075521205,148.93925559934505,146.6553524364639,148.1131591796875,1134600,0.0,0,0.9457026487095016,,,,149.04132287493246,,,,141.62867736816406
2017-03-20,148.64773344521342,149.89172769922774,147.58839713711365,148.15208435058594,1051400,0.0,0,0.9459511859591558,151.05893249511718,155.78005855626597,146.33780643396838,149.04132287493246,,,,141.73565673828125
2017-03-21,148.24923195022066,148.53108291348263,146.40268253196052,146.96636962890625,1061900,0.0,0,0.9383803964417576,150.57639846801757,154.87614168538954,146.2766552506456,148.91498792268078,,,,139.21746826171875
2017-03-22,147.3941803592784,147.84141031154647,146.28580787324714,147.07333374023438,661400,0.06,0,0.939063362384555,150.17064361572267,154.17095042133178,146.17033681011355,148.85655059332407,,,,138.19662475585938
2017-03-23,147.10254760649062,148.15258737888553,145.95527615989462,146.5969696044922,653100,0.0,0,0.9360217769682648,149.83631439208983,153.85792952916017,145.81469925501952,148.27823241265793,,,,136.63128662109375
